word,n_ratings,n,prop_known,rating,rating_sd
abstinence,9,9,1,4.111111111111111,2.5221243250702594
abstract,10,10,1,3.2,1.398411797560202
abstracted,10,10,1,2.8,1.8737959096740262
abstraction,10,10,1,2.7,2.057506581601462
abstractionism,9,9,1,3.888888888888889,2.260776661041756
abstractive,8,8,1,3.25,1.8322507626258087
absurd,9,9,1,3.3333333333333335,1.5
absurdity,10,10,1,3.3,2.406010991015812
abundance,10,10,1,4.4,1.7126976771553504
abundant,10,10,1,3.2,1.5491933384829668
abuse,8,8,1,2.25,1.4880476182856899
abusive,10,10,1,4.5,2.3213980461973533
abut,10,11,0.9090909090909091,2.6,1.429840705968481
abysmal,10,11,0.9090909090909091,3.3,1.8287822299126937
abyss,10,10,1,4.9,1.728840330651992
academic,10,10,1,2.7,1.766981104093143
academy,10,10,1,2.3,1.4181364924121764
accelerate,10,10,1,4.4,1.577621275493231
accent,9,9,1,3.4444444444444446,1.509230856356236
accept,10,10,1,3.6,2.5473297566057065
acceptable,10,10,1,3,2.1081851067789197
acceptance,10,10,1,2.7,1.4181364924121764
access,10,10,1,3.2,1.4757295747452437
accessible,10,10,1,4.3,1.766981104093143
accessory,10,10,1,3.9,2.330951164939612
accident,9,9,1,3.6666666666666665,1.8708286933869707
accidental,10,10,1,3,1.9436506316151
acclaim,10,10,1,2.3,1.3374935098492586
acclimate,9,10,0.9,3.7777777777777777,1.092906420717
accommodate,10,10,1,2.7,1.70293863659264
accommodating,11,11,1,2.4545454545454546,1.3684762594679065
accommodation,9,9,1,3.2222222222222223,1.986062547968831
accommodative,10,10,1,3,1.5634719199411433
accompany,10,10,1,4.1,1.7919573407620817
accomplice,10,10,1,2.6,2.0110804171997807
accomplish,10,10,1,3.6,2.065591117977289
accomplished,9,9,1,3.7777777777777777,2.279132388529557
accomplishment,11,11,1,3.4545454545454546,2.46429041972071
accord,10,12,0.8333333333333334,2.1,1.1005049346146119
accordance,9,9,1,2,1
accordant,10,10,1,2.5,2.1213203435596424
according,10,10,1,2.6,1.429840705968481
accordingly,9,9,1,2.7777777777777777,1.3017082793177757
accordion,10,10,1,4,2.0548046676563256
accordionist,10,10,1,2,1.247219128924647
account,11,11,1,3.3636363636363638,1.5666989036012806
accountability,10,10,1,3,2
accountable,9,9,1,3.4444444444444446,1.8104634152000358
accountancy,10,10,1,2.8,1.8737959096740262
accountant,9,9,1,4,1.8027756377319946
accounting,11,11,1,2.8181818181818183,1.5374122295716148
accumulate,10,10,1,3.2,1.8135294011647258
accuracy,10,10,1,3.7,1.2516655570345725
accurate,10,10,1,3.1,2.330951164939612
accursed,9,10,0.9,2.4444444444444446,1.5898986690282426
accusation,9,9,1,3.4444444444444446,2.1278575558006176
accusative,9,9,1,2.7777777777777777,1.855921454276674
accuse,8,8,1,3.5,1.6035674514745464
accused,10,10,1,3.2,1.5491933384829668
accustom,10,10,1,2.8,1.9321835661585918
ace,9,9,1,3.7777777777777777,1.6414763002993509
acetify,7,8,0.875,2.857142857142857,1.4638501094227998
ache,10,10,1,5.8,1.0327955589886444
achieve,10,10,1,2.7,2.057506581601462
achievement,11,12,0.9166666666666666,3.5454545454545454,2.0670576365276494
aching,10,10,1,5.2,1.1352924243950935
achy,11,11,1,5.909090909090909,1.044465935734187
acid,10,10,1,4.3,2.5841396591085743
acidic,10,10,1,5.1,1.3703203194062976
acidify,9,9,1,4.222222222222222,2.223610677354389
acidity,10,10,1,4.4,1.577621275493231
acknowledge,11,11,1,2.727272727272727,2.101947149236112
acknowledged,10,10,1,2.7,1.3374935098492586
acknowledgment,10,10,1,3.4,2.4129281427805145
acne,10,10,1,2.7,1.946506842754191
acorn,10,10,1,3,1.4907119849998598
acoustic,10,10,1,4.3,1.946506842754191
acoustics,10,10,1,2.9,1.3703203194062976
acquaint,10,11,0.9090909090909091,2.2,1.8737959096740262
acquaintance,10,10,1,1.7,0.6749485577105528
acquire,10,10,1,3.6,1.9550504398153574
acquisitive,10,11,0.9090909090909091,3.7,2.1628170930011112
acquit,10,10,1,3,1.247219128924647
acre,10,11,0.9090909090909091,3.3,1.766981104093143
acrid,9,10,0.9,3.7777777777777777,2.048034287907418
acrobat,10,11,0.9090909090909091,4.7,1.766981104093143
acrobatic,10,10,1,4.2,1.7511900715418263
acrobatics,10,10,1,4.3,1.888562063228706
acronym,10,10,1,2.8,2.3475755815545347
across,9,9,1,3.888888888888889,1.8333333333333333
acrylic,10,10,1,3.1,2.183269719175042
act,9,9,1,2.7777777777777777,2.048034287907418
acting,11,11,1,3.5454545454545454,1.6348477827391983
action,10,10,1,4.4,1.837873166945363
active,9,9,1,4.333333333333333,2.1213203435596424
activism,11,12,0.9166666666666666,3,1.61245154965971
activist,10,10,1,4.5,2.3687784005919825
activity,10,10,1,3.6,1.429840705968481
actor,10,10,1,3.5,2.173067468400883
actress,10,11,0.9090909090909091,4,2.211083193570267
actual,10,10,1,2.4,1.0749676997731399
actuality,10,10,1,3.1,1.728840330651992
actualization,10,10,1,2.8,1.6865480854231356
actualize,11,11,1,3.1818181818181817,1.8877596148970779
actually,10,10,1,3.2,1.8135294011647258
acupuncture,10,10,1,3.1,2.5582111805799856
acupuncturist,10,10,1,3,1.699673171197595
acute,10,10,1,3.8,2.043961295567452
ad,11,11,1,3.6363636363636362,2.5796405669289384
adamant,10,10,1,3,1.699673171197595
adapt,10,10,1,3.4,1.837873166945363
adaptable,10,10,1,4.7,1.636391694484477
adaptation,10,10,1,2.7,1.3374935098492586
adapter,10,10,1,3.2,1.8135294011647258
add,10,10,1,4.1,2.0248456731316584
addict,8,8,1,1.25,0.4629100498862757
addicted,10,10,1,3.5,2.068278940998476
addiction,10,10,1,4.4,2.1186998109427604
addictive,10,10,1,4.4,1.8973665961010275
addition,11,11,1,3.727272727272727,1.7939291563999449
additive,10,10,1,4.2,1.6865480854231356
address,10,10,1,3,1.5634719199411433
adept,11,12,0.9166666666666666,3.1818181818181817,1.5374122295716148
adequacy,11,11,1,2.1818181818181817,1.4012980994907414
adequate,10,10,1,2.8,1.1352924243950935
adhere,10,10,1,3.8,1.9321835661585918
adherence,10,10,1,3.5,2.1213203435596424
adhesive,10,10,1,2.7,2.2135943621178655
adjective,10,10,1,2.1,1.1972189997378648
adjoin,9,9,1,2.888888888888889,1.8333333333333333
adjudicate,9,10,0.9,1.7777777777777777,1.3017082793177757
adjust,9,9,1,2.7777777777777777,2.048034287907418
adjustable,9,9,1,3,1.5811388300841898
adjustment,10,10,1,3.3,1.4944341180973264
administer,10,10,1,3.8,1.4757295747452437
administrable,11,11,1,2.727272727272727,1.9021518914592015
administration,9,9,1,3,1.9364916731037085
admirable,10,10,1,4.3,1.766981104093143
admiral,10,10,1,2.6,1.3498971154211057
admiration,11,11,1,3.5454545454545454,1.8090680674665818
admire,9,9,1,3.5555555555555554,1.8782379449307742
admiring,9,9,1,2.6666666666666665,1.5
