ID,Concept,Familiarity,Pain,Smell,Color,Taste,Sound,Grasp,Motion,Familiarity_RT,Pain_RT,Smell_RT,Color_RT,Taste_RT,Sound_RT,Grasp_RT,Motion_RT,PC1_scores,PC2_scores
384,python,6.43,6.78,2.1,4.61,2.24,2.64,3.48,6.04,1826,952,1180,1290,1407,1447,1254,1236,1.05,-0.29
385,rabbit,7.24,2.46,3.7,3.32,4.08,1.95,4.48,6.71,1637,1386,1774,1320,1262,1015,1399,1180,0.29,0.71
386,raccoon,7.16,4.62,4.68,3.29,2.43,3.54,1.95,6.41,1703,826,1464,1141,960,1358,1525,1163,1.4,0.52
387,racquet,7.15,4.76,1.78,3.58,1.8,3.77,6.83,5.13,1938,1456,1065,1371,1172,1373,1005,1150,0.32,-0.75
388,radio,7.55,2.2,1.45,2.54,1.52,6.88,5.91,1.36,1766,902,1029,1312,1235,1335,1498,1361,-0.07,-1.24
389,radish,7.18,2.14,3.64,5.96,5.75,1.19,6.96,1.6,1765,1286,1132,1174,1388,1190,1012,970,-1.21,1.37
390,raft,6.98,2.88,2.57,4.08,1.55,2.92,2.05,5.67,1808,1115,1503,1136,986,1076,1293,1484,0.63,-0.2
391,rainbow,7.5,1.27,1.26,7.08,4.58,1.12,1,2,1697,913,1087,1036,2283,822,776,839,-0.76,0.69
392,raisin,7.51,1.14,4.65,3.23,6.77,1.28,7.67,1.33,1765,729,1556,1123,1425,1077,785,1161,-1.42,1.39
393,rake,7.24,4.9,1.68,2.36,1.76,3.08,4.91,3.24,1807,1206,1022,1342,1068,1154,1292,1215,0.1,-1.16
394,raspberry,7.44,1.41,4.9,7.04,7.54,1.48,7.61,1.71,1454,709,1333,1020,596,1303,951,926,-1.25,2.55
395,rat,7.22,3.91,5.5,2.86,1.64,2.92,5.09,6.71,1558,1010,1189,1227,1294,1471,1402,1133,0.92,0.5
396,rattle,7.24,2.78,1.94,4.63,1.74,4.4,7.22,4.76,1879,1315,1193,1101,1282,1169,989,1168,0.01,-0.39
397,rattlesnake,6.87,6.7,2.14,4.22,3.16,3.87,2.39,5.52,1763,1001,1016,1185,1095,1355,1622,1322,1.31,-0.14
398,raven,7.04,3.48,2.92,3.75,2.82,4.61,2.72,6.46,1698,958,1887,780,944,903,1178,1300,1.14,0.17
399,razor,7.46,6.5,1.84,2.78,1.55,2.17,6.95,3.21,1696,1520,1061,920,1118,1328,1382,1397,-0.06,-1.2
400,revolver,6.79,7.1,2.73,2.73,2,7.23,6.9,3.52,2014,1296,1225,1302,957,1196,1470,1433,1.22,-0.8
401,rhubarb,5,1.67,3.33,4.48,3.26,1.7,6.22,1.91,2006,829,1428,1343,1383,844,1529,1424,-1,0.35
402,rice,7.55,1.42,3.05,1.59,7.4,1.31,6.57,1.35,1601,1215,1324,1290,1263,1140,1379,1031,-1.41,0.64
403,rifle,6.7,7.46,2.79,3,2,6.7,5.18,2.64,1932,746,1053,1789,1067,1118,1131,1985,1.25,-0.76
404,robe,7.33,1.05,1.87,4.22,2.12,1.22,6,1.81,1600,829,1213,1083,1016,832,1012,1410,-1.33,-0.47
405,robin,6.82,2.67,2.48,5.48,2.35,4.63,3.41,6.2,1856,1164,1221,1101,1169,1443,1682,880,0.83,0.31
406,rock,7.65,6,1.7,1.8,1.48,3.17,6.35,1.8,1703,919,1081,963,730,1315,1100,1027,-0.13,-1.53
407,rocker,6.84,3.28,2.5,3.08,2,3.56,2.58,5.48,2114,1189,1158,1423,1022,1303,1750,1255,0.7,-0.38
408,rocket,6.89,5.22,4.38,3.56,1.21,7.55,1.48,6.48,1807,1364,1269,1269,888,539,993,1620,2.4,0.15
409,rooster,6.96,3.14,4.5,5.44,4.38,6.35,3.46,6.04,1841,1217,1033,1076,1403,1134,1260,1354,1.4,1.48
410,rope,7.55,4.77,2.2,2.32,1.86,1.68,6.46,3.35,1699,981,1063,859,1221,1025,905,1067,-0.34,-0.98
411,rose,7.52,4.09,5.64,7.45,3.04,1.05,6.91,1.5,1672,1377,1177,971,1403,879,1361,894,-0.62,1.59
412,ruler,7.56,3.65,1.44,2.96,1.67,2.88,7.67,2.67,1640,1376,866,934,974,1489,660,1283,-0.64,-1.15
413,sack,6.99,3.48,2.09,2.19,1.74,1.68,6.6,1.84,1967,970,978,1040,1399,1290,1197,1300,-0.86,-1.1
414,saddle,6.95,2.77,2.83,2.86,1.21,1.7,3.89,2.84,1737,975,1060,1593,1082,1756,1465,1020,-0.35,-0.68
415,sailboat,7.04,2.92,2.86,3.92,1.63,3.8,1.25,5.64,1823,1116,1335,1117,1008,1402,1035,1384,0.94,-0.11
416,salamander,6.46,2.29,3.12,5.75,2.08,1.64,4.71,5.84,1966,1294,1144,1092,1226,1164,1179,1389,0,0.5
417,salmon,7.41,2.22,5.24,6.13,5.86,1.83,4.83,5.38,1681,930,1316,991,976,1284,1678,1564,0.06,2.26
418,sandals,7.51,2.32,2.79,4,1.28,2.59,6.74,4.33,1786,1055,1129,1115,865,907,1196,1546,-0.35,-0.35
419,sandpaper,7.18,4.43,1.88,2.58,1.37,3.58,7.04,3.13,1800,1027,978,992,1050,1404,970,1210,-0.14,-1.16
420,sardine,6.87,1.63,7.28,3.17,3.36,1.46,5.48,4.64,1733,1307,877,1388,1187,1174,1278,1469,-0.04,1.63
421,saucer,6.89,2.74,2.04,2.91,2.3,2.38,6.38,2.43,2001,1094,1026,1268,1043,1665,1792,1357,-0.72,-0.73
422,saxophone,7.15,2.42,1.84,5.86,2.09,6.32,5.36,3.32,1729,1023,1122,1263,995,1358,1261,1324,0.31,-0.09
423,scarf,7.38,2.08,1.54,6.15,1.71,1,7.42,1.82,1589,1225,1270,1266,1119,635,743,923,-1.4,-0.34
424,schoolbus,7.56,3.81,3.96,6.61,1.46,5.58,1.91,6.77,1525,1073,1309,999,1017,1180,1490,1014,1.7,0.85
425,scissors,7.66,5.54,1.18,3.05,1.52,2.12,7.54,2.7,1436,1015,720,1492,1233,1226,883,1494,-0.47,-1.36
426,scooter,7.37,4.08,1.77,3.92,1.39,3.78,4.75,5.95,1669,932,928,907,819,1025,1399,1270,0.63,-0.66
427,scorpion,6.56,7.25,1.82,4.09,1.83,1.83,2.86,4.76,1822,1490,1146,1062,847,1193,2282,805,0.79,-0.7
428,screwdriver,7.44,5.12,1.55,2.68,1.75,2.36,7.54,3.32,1716,1366,1140,1160,1025,1219,883,1189,-0.35,-1.19
429,screws,7.15,4.35,1.9,2.18,1.64,2.35,7.73,2.33,1751,1013,905,1069,748,1173,865,1268,-0.65,-1.23
430,seagull,7.4,3.39,4.63,3.33,2.55,5.14,2.69,6.96,1631,1418,971,927,1032,1303,1026,1111,1.52,0.63
431,seal,6.95,3.05,4.88,3.67,2.59,4.92,1.84,5.44,1800,1453,1230,1213,1144,1014,1087,1037,1.28,0.75
432,seaweed,7.47,1.62,5.58,4.48,5.67,1.26,6.11,3.96,1643,967,1286,987,1183,1078,1377,1389,-0.54,1.88
433,shack,6.7,1.77,2.68,2.41,1.68,2.46,1.62,1.48,1926,1022,1225,1019,1401,1245,1073,1044,-0.35,-0.69
434,shawl,6.45,1.44,1.96,4.1,2.08,1.04,6.17,1.92,1836,732,1033,1214,1240,744,1286,1271,-1.29,-0.5
435,shed,7.06,1.88,2.7,2.86,1.82,1.88,1.25,1.65,1865,890,1611,1446,936,1411,1005,1085,-0.37,-0.54
436,sheep,7.23,3.07,4.81,1.67,4.05,4.96,1.83,5.09,1709,1179,1133,1255,1486,1242,1350,1146,1.18,0.63
437,shell,7.28,2.78,2.75,3.09,2.14,1.96,7.27,1.67,1773,1199,1079,1111,1043,1072,957,1104,-0.97,-0.55
438,shelves,7.45,3.65,1.43,2.45,1.29,1.61,2.84,1.15,1703,1248,736,1628,881,1304,1172,1029,-0.54,-1.36
439,shield,6.87,2.77,2,3.22,1.63,1.95,5.27,2.26,1895,1412,1011,1045,1362,1011,1349,1304,-0.68,-0.83
440,ship,7.22,3.37,4.39,3.17,1.36,5.88,1.61,6.4,1890,930,1565,1386,783,1238,710,1308,1.71,0.2
441,shirt,7.63,1.78,2.74,5.25,2.43,1.19,6.86,4.15,1504,1034,1336,1523,1052,1169,884,1450,-0.81,0.23
442,shoes,7.7,3.71,3.46,4.96,1.05,3.24,6.13,5.88,1506,1185,1181,1008,746,1456,1648,1464,0.46,0.06
443,shotgun,6.98,7.72,3.36,2.48,1.7,7.21,5.25,3.64,1780,980,1823,1167,1070,1246,1444,1568,1.64,-0.71
444,shovel,7.32,4.8,2.19,2.81,1.43,2.78,6.15,3.52,1655,1406,1163,1005,1091,1092,923,898,-0.03,-0.97
445,shrimp,7.41,2,5.48,5.05,6.73,1.41,6.77,5.32,1546,1159,1309,1510,866,970,925,1398,-0.32,2.29
446,sink,7.7,2.13,2.64,2.91,1.24,3.74,1.75,1.65,1564,1271,1457,923,888,931,1087,968,0,-0.72
447,skateboard,7.42,5.52,1.83,3.86,1.42,4.57,6.7,6.17,1652,1054,1392,1031,1146,1165,1060,1026,0.83,-0.75
448,skillet,7.04,4.73,3.3,2.33,1.52,3.46,6.16,2.09,1865,1230,1412,1046,943,1605,1320,1325,-0.04,-0.75
449,skirt,7.41,1.41,1.65,5.38,1.52,1.27,6.29,3.05,1720,1036,1066,1337,1087,937,1560,1217,-1.07,-0.39
450,skis,7.05,4.57,1.79,3.5,2.05,2.77,4.69,4.83,1872,1531,1013,1453,1285,1255,1987,1562,0.3,-0.67
451,skunk,6.86,3.59,7.04,4.64,1.5,2.09,1.74,4.91,1821,1144,1113,948,1003,1577,1772,1175,0.97,1.38
452,skyscraper,7.47,2.7,1.33,3.73,1.53,1.67,1.25,1.58,1674,1426,769,1340,719,1287,844,1137,-0.43,-0.94
453,sled,7.01,4.75,1.26,4.14,1.71,2.91,3.26,5.23,1787,914,1041,995,1095,1230,1561,1198,0.56,-0.75
454,sledgehammer,6.85,7.58,1.5,2.86,1.61,6.45,5.38,4.42,1906,1069,919,1295,1255,888,1356,1282,1.38,-1.24
455,sleigh,6.69,3.29,1.73,4.61,1.83,2.71,2.59,5.33,1774,1321,1137,1167,1414,1431,1366,1383,0.43,-0.35
456,slingshot,7.05,6.22,1.43,2.62,1.77,3.09,6.75,4.71,1631,1055,783,1086,1164,1107,1183,1716,0.32,-1.21
457,slippers,7.45,1.63,2.45,4.35,1.18,2.23,6.52,2.96,1779,873,900,1271,877,987,1425,1193,-0.79,-0.46
458,slug,7.1,1.64,2.14,2.22,1.6,1.14,7.05,3.9,1614,930,906,1231,795,761,1109,1404,-0.96,-0.89
459,snail,7.46,1.52,2.18,2.76,2.42,1.17,6.55,3.95,1741,864,1323,946,1532,1002,1314,1857,-0.92,-0.52
460,snowball,7.27,3.61,1.5,2.09,4.05,2.22,7.14,6.44,1825,1477,991,836,1406,1251,1207,1345,-0.09,-0.47
461,socks,7.58,1.52,5.04,3.63,1.5,1.14,6.88,2.05,1604,660,1325,1346,1172,1046,1239,1433,-0.97,0.3
462,sofa,7.57,2.4,2.87,4.3,1.64,1.63,1.19,1.13,1534,1475,1036,1222,1129,810,751,1044,-0.39,-0.26
463,spade,5.82,3.73,1.76,2.78,1.77,2.64,4.52,2.24,2202,1141,1121,1316,1299,1374,1404,1453,-0.31,-1.02
464,sparrow,6.99,2.36,2.36,5.16,3.28,3.95,3.7,6.48,1709,1535,1266,1121,986,1574,1400,918,0.62,0.46
