Word	VersionNum	WordType	Block	Word_ID_unique	RTclean_mean	RTclean_sd	Rtclean_n	zRTclean_mean	zRTclean_sd	zRTclean_n	ACC	ACC_n	Concrete_rating
longhorn	1	Concrete	1	10024	950.07	312.74	30	-0.25	0.87	30	96.77	31	4.56
longing	2	Abstract	2	20392	997.60	348.60	30	-0.05	0.89	30	96.77	31	2.14
longingly	8	Abstract	4	80971	1053.90	416.39	31	0.18	0.97	31	100.00	31	1.52
longish	6	Abstract	3	60739	1122.42	419.29	24	0.43	1.18	24	80.65	31	2.15
longship	10	Concrete	2	100347	1100.00	512.90	23	0.13	0.98	23	71.88	32	3.96
longshoreman	3	Concrete	3	30543	1136.10	413.33	31	0.40	0.99	31	100.00	31	4.58
longshot	8	Abstract	2	80484	1194.31	342.65	16	0.51	1.00	16	51.61	31	1.89
longstanding	3	Abstract	3	30697	1155.48	456.73	23	0.32	0.87	23	74.19	31	2.28
longtime	7	Abstract	4	70992	1129.92	385.74	24	0.61	1.05	24	77.42	31	2.3
loo	9	Concrete	2	90289	977.60	351.27	25	0.07	1.03	25	83.33	30	4.2
lookout	5	Concrete	1	50047	1268.59	459.84	17	0.77	1.03	17	53.13	32	4.04
looming	1	Abstract	3	10712	946.17	343.58	23	-0.02	1.16	23	74.19	31	1.96
loony	8	Abstract	1	80181	1019.72	305.02	18	0.07	0.86	18	58.06	31	2.15
loopy	7	Abstract	2	70500	949.54	307.61	26	-0.03	0.97	26	83.87	31	2.46
looter	4	Concrete	2	40357	919.56	236.66	27	-0.16	0.70	27	84.38	32	4.38
lordly	6	Abstract	1	60212	1086.10	318.24	29	-0.01	0.76	29	93.55	31	2.14
lore	1	Abstract	1	10244	1123.52	365.15	23	0.23	0.71	23	74.19	31	2.35
loser	1	Abstract	4	10994	1172.84	419.94	19	0.60	1.20	19	61.29	31	2.35
losing	9	Abstract	4	90898	954.97	373.41	29	0.08	1.07	29	93.33	30	2.28
loss	2	Abstract	4	20971	949.00	368.46	27	0.06	1.19	27	90.32	31	2.19
loudspeaker	5	Concrete	2	50296	902.63	377.60	30	-0.30	0.84	30	96.88	32	4.82
lounger	8	Concrete	2	80357	1034.67	450.56	27	0.11	1.02	27	87.10	31	4.04
lousy	5	Abstract	2	50391	905.97	277.85	30	-0.23	0.91	30	93.75	32	1.93
lovable	2	Abstract	2	20423	873.75	266.48	28	-0.46	0.49	28	90.32	31	1.97
lovebird	1	Concrete	2	10314	998.16	405.76	25	-0.03	1.10	25	80.65	31	4.62
loveless	2	Abstract	2	20398	829.90	216.06	30	-0.53	0.56	30	96.77	31	1.86
loveliness	10	Abstract	2	100495	962.52	356.74	29	-0.24	0.76	29	90.63	32	2.07
lovelorn	2	Abstract	1	20168	1182.16	310.37	25	0.51	0.71	25	80.65	31	2.13
lovesick	2	Abstract	4	20931	1018.33	291.73	27	0.31	0.74	27	90.32	31	2.09
lovingly	3	Abstract	4	30926	787.83	316.78	29	-0.62	0.73	29	90.32	31	2
lowbrow	10	Abstract	1	100167	1534.60	725.71	5	1.34	1.41	5	12.50	32	1.96
lowdown	10	Abstract	2	100455	1153.67	399.29	18	0.43	1.04	18	56.25	32	2.38
lowness	1	Abstract	2	10458	1100.15	441.31	27	0.26	1.10	27	87.10	31	1.78
loyal	7	Abstract	3	70702	872.80	238.02	30	-0.32	0.85	30	96.77	31	1.69
loyally	5	Abstract	4	50933	811.69	240.18	32	-0.54	0.80	32	100.00	32	1.83
loyalty	1	Abstract	4	10880	839.72	250.02	29	-0.39	0.81	29	93.55	31	1.57
lozenge	8	Concrete	1	80018	954.54	265.56	24	-0.23	0.69	24	77.42	31	4.59
lubricant	1	Concrete	2	10251	932.47	239.42	30	-0.14	0.70	30	96.77	31	4.52
lubricate	7	Concrete	4	70868	1105.81	277.90	26	0.57	0.79	26	83.87	31	4.18
lubrication	1	Concrete	2	10291	1137.85	481.20	27	0.19	0.96	27	87.10	31	3.62
lubricator	2	Concrete	4	20828	1060.17	411.62	29	0.27	1.14	29	100.00	31	4.22
lucid	4	Abstract	2	40400	1023.75	305.42	28	0.21	1.02	28	87.50	32	2.3
lucidity	6	Abstract	2	60423	1115.73	383.43	30	0.34	0.96	30	100.00	31	1.96
luck	4	Abstract	3	40731	887.93	189.41	29	-0.26	0.63	29	90.63	32	1.33
luckily	7	Abstract	2	70487	875.48	245.45	31	-0.29	0.76	31	100.00	31	1.55
luckless	8	Abstract	4	80959	984.77	292.87	31	0.07	0.83	31	100.00	31	1.9
lucrative	4	Abstract	4	40959	1046.31	385.86	29	0.34	1.02	29	96.77	31	1.69
ludicrous	7	Abstract	2	70448	1073.16	352.90	31	0.29	0.81	31	100.00	31	1.68
lug	6	Concrete	4	60805	1028.96	503.31	27	-0.05	1.19	27	83.87	31	3.78
luggage	7	Concrete	4	70874	739.77	211.49	31	-0.63	0.84	31	100.00	31	4.83
lukewarm	7	Concrete	4	70806	950.76	414.31	25	0.03	1.11	25	80.65	31	3.64
lull	1	Abstract	3	10744	1051.78	415.61	27	0.04	0.86	27	87.10	31	2.32
lullaby	9	Concrete	4	90771	1086.30	326.46	20	0.58	1.30	20	66.67	30	3.83
lumbar	7	Concrete	4	70786	864.47	303.57	30	-0.31	0.86	30	96.77	31	3.96
lumber	8	Concrete	4	80807	768.07	284.36	29	-0.62	0.84	29	93.55	31	4.56
lumberjack	7	Concrete	4	70805	777.70	257.77	30	-0.58	0.60	30	96.77	31	4.75
lumberman	5	Concrete	4	50760	898.10	373.81	31	-0.21	1.19	31	100.00	32	4.43
lumberyard	6	Concrete	1	60021	1022.00	375.29	30	-0.22	0.96	30	100.00	31	4.56
luminescent	1	Concrete	3	10534	1222.87	418.01	15	0.90	1.20	15	51.61	31	3.67
lunacy	7	Abstract	1	70208	1060.21	218.03	29	0.14	0.78	29	90.32	31	1.76
lunch	2	Concrete	3	20506	792.53	309.35	30	-0.65	0.99	30	96.77	31	4.31
luncheon	6	Concrete	3	60585	1112.41	429.56	29	0.25	1.13	29	96.77	31	3.92
lunchroom	7	Concrete	1	70051	758.63	187.78	30	-0.93	0.46	30	96.77	31	4.63
lunchtime	7	Concrete	3	70610	778.11	167.71	28	-0.63	0.50	28	93.55	31	3.79
lunged	5	Concrete	4	50873	1064.58	297.66	19	0.40	1.10	19	59.38	32	3.75
lungfish	8	Concrete	3	80624	889.50	260.21	30	-0.30	0.74	30	96.77	31	4.58
luscious	9	Abstract	4	90945	978.83	286.96	24	0.02	0.73	24	83.33	30	1.93
lust	1	Abstract	4	10908	843.48	191.54	29	-0.26	0.81	29	93.55	31	2.15
lustful	9	Abstract	1	90161	1050.10	324.80	30	-0.04	0.99	30	100.00	30	2.23
lustfully	4	Abstract	4	40974	955.78	301.09	32	0.02	0.81	32	100.00	32	2.11
lustily	8	Abstract	1	80139	1076.19	475.63	31	0.02	0.99	31	100.00	31	1.73
lusty	2	Abstract	1	20199	925.70	387.57	27	-0.30	0.88	27	87.10	31	1.96
luxuriantly	2	Abstract	1	20184	1092.50	484.75	30	0.14	1.20	30	100.00	31	1.86
lyrical	8	Abstract	4	80999	1178.07	471.52	28	0.57	1.12	28	90.32	31	2.15
lyricism	8	Abstract	1	80241	1230.64	405.33	25	0.64	1.16	25	87.10	31	2.25
macaroni	10	Concrete	1	100045	906.81	342.12	31	-0.49	0.64	31	96.88	32	4.97
macaroon	9	Concrete	4	90786	916.43	345.61	28	-0.10	1.13	28	96.67	30	4.96
macaw	5	Concrete	3	50506	1117.66	471.37	29	0.24	1.16	29	90.63	32	4.81
machete	9	Concrete	3	90528	862.70	291.25	27	-0.34	1.14	27	90.00	30	4.82
machetes	9	Concrete	2	90282	1025.00	291.02	27	0.21	0.81	27	93.33	30	4.63
machine	10	Concrete	4	100828	846.76	271.90	29	-0.52	0.76	29	90.63	32	4.25
machinery	10	Concrete	1	100050	878.52	222.33	31	-0.44	0.65	31	96.88	32	4.75
machinist	5	Concrete	3	50574	1186.48	402.85	29	0.44	0.85	29	93.75	32	4.24
macrame	9	Concrete	2	90364	1248.96	422.78	24	0.90	1.11	24	76.67	30	4.17
macrobiotic	5	Abstract	3	50705	1628.92	513.09	12	1.66	1.25	12	34.38	32	2.26
madam	7	Concrete	2	70336	983.73	324.45	26	0.04	1.04	26	80.65	31	3.77
madder	8	Abstract	1	80140	1348.29	471.61	21	1.00	1.22	21	64.52	31	2.36
madly	3	Abstract	1	30147	1027.58	231.50	26	-0.12	0.81	26	83.87	31	1.75
madness	7	Abstract	2	70413	877.21	243.27	29	-0.35	0.62	29	93.55	31	1.97
magenta	9	Concrete	3	90572	1167.58	384.67	24	0.73	1.08	24	83.33	30	3.81
magical	5	Abstract	4	50998	982.93	483.30	28	-0.08	0.96	28	87.50	32	2.3
magically	7	Abstract	3	70687	963.07	242.84	29	-0.06	0.80	29	93.55	31	1.67
magician	2	Concrete	2	20288	891.55	362.61	29	-0.35	0.82	29	93.55	31	4.21
magistrate	8	Concrete	2	80318	1281.95	509.95	21	0.75	1.14	21	64.52	31	3.82
magnifier	2	Concrete	4	20821	1069.31	450.61	26	0.23	0.98	26	83.87	31	4.4
magnify	9	Concrete	2	90306	1174.61	356.60	18	0.55	0.84	18	63.33	30	3.71
magnitude	3	Abstract	2	30412	1143.74	482.15	19	0.33	1.16	19	61.29	31	2.43
magnolia	10	Concrete	2	100273	1032.68	317.61	28	0.06	0.89	28	87.50	32	4.71
mahjong	4	Concrete	1	40027	1020.33	314.79	24	0.15	1.01	24	75.00	32	3.92
maidenly	10	Abstract	4	100903	1256.53	449.05	19	0.94	1.04	19	59.38	32	1.83
maidservant	5	Concrete	4	50843	1072.64	273.97	25	0.40	0.90	25	81.25	32	4.39
mailbag	9	Concrete	2	90257	897.83	418.77	30	-0.39	1.08	30	100.00	30	4.89
mailing	3	Concrete	1	30102	991.09	299.10	23	-0.31	0.68	23	74.19	31	3.63
mainly	3	Abstract	1	30246	995.50	281.15	28	-0.21	0.61	28	93.55	31	2
mainsail	8	Concrete	2	80339	1199.65	417.57	23	0.76	1.13	23	77.42	31	4.61
mainstay	9	Abstract	4	90977	1092.05	474.45	19	0.48	1.14	19	60.00	30	2.19
mainstream	8	Abstract	2	80457	1418.06	471.57	16	1.06	1.07	16	51.61	31	1.81
maintain	6	Abstract	2	60493	1043.31	297.61	26	0.20	0.92	26	83.87	31	2.32
majesty	9	Abstract	4	90975	981.47	313.32	15	0.25	0.97	15	53.33	30	1.94
majorette	4	Concrete	2	40284	1145.68	387.40	22	0.54	0.98	22	71.88	32	3.68
makeup	6	Concrete	3	60572	827.10	383.63	31	-0.62	1.08	31	100.00	31	4.45
making	10	Abstract	3	100655	1021.36	409.83	22	0.11	1.13	22	65.63	32	2.34
malaria	9	Concrete	4	90814	1034.42	294.34	26	0.37	1.07	26	86.67	30	3.93
malcontent	7	Abstract	3	70645	1194.21	423.62	29	0.69	1.06	29	93.55	31	2.16
maleness	8	Abstract	1	80170	1379.44	406.26	18	1.19	1.30	18	58.06	31	2.16
malevolence	3	Abstract	4	30961	1023.52	415.50	31	0.14	0.98	31	100.00	31	2
malevolent	1	Abstract	3	10694	1091.31	319.16	29	0.23	0.61	29	93.55	31	2.19
malice	8	Abstract	4	80977	938.76	281.12	25	-0.10	0.74	25	80.65	31	1.72
malicious	3	Abstract	4	30899	954.52	388.75	31	-0.06	0.97	31	100.00	31	2.33
maliciously	5	Abstract	3	50673	990.58	400.09	31	-0.21	0.85	31	96.88	32	1.96
malign	4	Abstract	1	40155	1207.54	399.51	26	0.53	1.03	26	81.25	32	2.04
mallard	8	Concrete	3	80558	993.62	328.53	26	0.00	0.90	26	83.87	31	4.27
malleable	6	Concrete	2	60277	1356.40	548.76	15	0.81	1.25	15	41.94	31	3.64
mallet	5	Concrete	2	50257	924.16	326.90	32	-0.23	0.94	32	100.00	32	4.93
malt	5	Concrete	2	50358	1061.23	502.72	31	0.08	1.15	31	96.88	32	4.57
maltreat	2	Abstract	1	20186	1181.53	486.05	17	0.49	0.90	17	58.06	31	2.33
mammal	4	Concrete	2	40317	785.47	226.41	32	-0.71	0.70	32	100.00	32	4.59
mammary	6	Concrete	4	60873	1173.88	344.66	26	0.50	0.57	26	83.87	31	3.63
man	All	Concrete											4.79
manage	2	Abstract	3	20664	1068.89	371.26	19	0.25	0.88	19	67.74	31	2
manager	All	Concrete											4.14
managerial	5	Abstract	4	50932	1143.63	463.80	19	0.56	1.30	19	68.75	32	2.14
manatee	2	Concrete	4	20861	1029.40	325.64	30	0.30	1.05	30	96.77	31	4.66
mandarin	2	Concrete	1	20072	1022.70	389.47	30	-0.13	0.96	30	93.55	31	3.67
mandatory	10	Abstract	4	100885	1132.79	429.67	28	0.32	0.79	28	90.63	32	2.24
mandolin	4	Concrete	4	40875	907.25	245.65	28	-0.03	0.84	28	87.50	32	4.76
mane	5	Concrete	3	50613	981.13	291.18	24	-0.08	0.69	24	75.00	32	4.73
manes	10	Concrete	4	100769	1048.33	351.90	27	0.31	1.03	27	84.38	32	4.2
mange	8	Concrete	2	80304	1384.91	508.26	22	1.26	1.35	22	67.74	31	3.58
manger	4	Concrete	3	40533	838.77	321.85	26	-0.39	0.95	26	90.63	32	4.56
mangling	4	Abstract	4	40948	1106.00	495.66	15	0.35	1.30	15	48.39	31	2.39
manhole	8	Concrete	1	80093	863.32	247.93	31	-0.55	0.53	31	100.00	31	4.7
mania	7	Abstract	2	70403	998.56	333.22	27	0.18	0.97	27	87.10	31	2.42
maniacal	3	Abstract	2	30381	1264.11	537.25	28	0.77	1.30	28	87.10	31	1.96
maniacally	7	Abstract	2	70466	1091.41	421.81	29	0.41	1.17	29	93.55	31	2.34
manicure	9	Concrete	1	90054	911.89	293.19	27	-0.47	0.61	27	90.00	30	4.39
manicured	9	Concrete	4	90845	850.16	305.13	25	-0.36	1.02	25	83.33	30	4.11
manicurist	8	Concrete	1	80104	1140.92	425.65	26	0.29	1.04	26	83.87	31	4.11
manifestation	2	Abstract	3	20659	1157.86	270.58	22	0.74	0.88	22	70.97	31	2.39
manifested	6	Abstract	3	60686	1161.83	379.15	30	0.51	0.99	30	96.77	31	2.17
mannequin	9	Concrete	2	90356	846.41	256.71	29	-0.42	0.64	29	96.67	30	4.53
manner	3	Abstract	3	30723	1023.43	346.00	21	0.07	0.66	21	67.74	31	1.62
mannerism	5	Abstract	1	50216	1178.50	439.50	24	0.62	1.07	24	75.00	32	2.37
manners	7	Abstract	3	70636	1165.46	485.83	26	0.32	1.08	26	83.87	31	2.17
mannish	6	Abstract	3	60657	1033.09	278.49	23	0.12	0.93	23	74.19	31	2.32
manor	6	Concrete	3	60551	910.46	246.48	24	-0.32	0.72	24	77.42	31	4.7
manservant	5	Concrete	3	50533	1026.62	319.75	29	0.09	0.93	29	90.63	32	3.72
mansion	6	Concrete	2	60266	896.17	302.91	30	-0.34	0.72	30	96.77	31	4.89
mansions	10	Concrete	2	100359	932.59	278.31	29	-0.22	0.77	29	90.63	32	4.46
mantelpiece	2	Concrete	1	20116	1078.35	401.44	26	0.11	0.84	26	83.87	31	3.76
mantle	4	Concrete	4	40779	867.04	286.53	27	-0.23	0.88	27	90.32	31	4.57
manufacturer	5	Concrete	2	50366	983.32	369.55	28	-0.06	0.89	28	90.63	32	3.69
manure	3	Concrete	4	30820	930.92	224.99	25	0.01	0.71	25	80.65	31	4.64
manuscript	9	Concrete	1	90017	991.57	303.53	30	-0.26	0.74	30	100.00	30	4.57
maple	1	Concrete	2	10323	854.83	414.12	30	-0.58	0.76	30	100.00	31	4.46
maraschino	6	Concrete	4	60825	1323.48	591.82	25	0.82	1.07	25	80.65	31	4.36
marbles	4	Concrete	4	40864	911.89	544.91	28	-0.32	1.17	28	93.55	31	4.96
marcher	9	Concrete	1	90002	1012.82	288.41	28	-0.08	0.91	28	93.33	30	4.04
margarine	4	Concrete	2	40339	997.38	317.49	29	0.00	0.82	29	90.63	32	4.58
marigold	1	Concrete	3	10550	1010.14	357.19	28	0.01	0.96	28	90.32	31	4.59
marijuana	10	Concrete	2	100346	1000.67	414.03	30	-0.09	1.13	30	93.75	32	4.89
marinade	9	Concrete	1	90110	1021.68	283.13	28	-0.07	0.68	28	93.33	30	4.07
marinate	6	Concrete	3	60534	1226.16	469.59	25	0.72	0.99	25	80.65	31	3.55
mariner	9	Concrete	2	90251	1010.26	282.75	27	0.18	0.77	27	90.00	30	4.38
marionette	4	Concrete	1	40076	1158.41	328.73	29	0.44	1.06	29	90.63	32	4.63
marital	1	Abstract	4	10988	1409.86	528.95	22	1.18	1.13	22	74.19	31	2.04
markedly	3	Abstract	1	30218	1125.46	312.83	28	0.07	0.66	28	90.32	31	1.62
marketable	3	Abstract	1	30213	1204.32	361.06	25	0.53	1.08	25	83.87	31	2.16
marketeer	5	Concrete	4	50773	1078.50	546.50	32	0.17	1.15	32	96.88	32	3.71
marketing	10	Abstract	4	100896	1062.80	396.20	15	0.59	1.23	15	43.75	32	2.33
marketplace	1	Concrete	1	10012	751.27	150.91	30	-0.81	0.53	30	96.77	31	4.28
marking	7	Concrete	4	70830	1038.65	331.30	26	0.33	0.90	26	87.10	31	3.79
marksman	1	Concrete	1	10088	854.42	282.39	31	-0.58	0.76	31	100.00	31	4.12
marmalade	10	Concrete	3	100558	952.22	222.71	27	-0.17	0.48	27	87.50	32	4.83
marmot	9	Concrete	3	90620	993.72	381.18	29	0.03	1.07	29	96.67	30	4.33
marooned	9	Abstract	3	90660	1304.60	485.91	15	0.88	1.10	15	46.67	30	2.44
marrow	5	Concrete	1	50022	1037.80	241.92	25	0.32	1.03	25	78.13	32	4.48
marshmallow	2	Concrete	4	20808	756.39	337.82	31	-0.80	0.75	31	100.00	31	4.85
marshy	10	Concrete	2	100369	1024.00	379.11	15	0.23	1.18	15	46.88	32	3.55
marsupial	1	Concrete	3	10502	1168.30	341.43	20	0.69	1.09	20	64.52	31	4.55
martyrdom	4	Abstract	4	40908	1206.11	418.20	18	0.84	1.00	18	58.06	31	1.64
marvel	7	Abstract	2	70467	1119.09	262.99	23	0.65	0.96	23	74.19	31	2.12
marxism	9	Abstract	3	90729	1167.88	382.11	25	0.53	1.11	25	83.33	30	1.48
mascara	6	Concrete	4	60754	900.03	440.96	30	-0.41	0.90	30	96.77	31	4.93
masculine	10	Abstract	1	100143	1164.75	418.79	16	0.51	0.77	16	50.00	32	2.21
masonic	3	Abstract	2	30424	1295.15	517.05	27	0.84	0.97	27	83.87	31	2.22
masonry	5	Concrete	4	50825	1199.58	432.97	24	0.76	1.20	24	71.88	32	3.82
masque	7	Concrete	3	70522	1178.54	378.91	24	0.59	1.09	24	80.65	31	3.88
masquerader	1	Concrete	4	10854	1118.56	542.65	27	0.41	1.10	27	90.32	31	3.93
massacre	10	Concrete	1	100121	1087.63	320.66	24	0.23	1.06	24	78.13	32	4
massage	9	Concrete	1	90097	921.47	257.52	30	-0.47	0.72	30	100.00	30	4.18
masseur	8	Concrete	4	80822	1007.65	371.29	26	0.01	0.82	26	83.87	31	4.39
masseuse	10	Concrete	2	100251	1033.21	380.99	24	0.21	1.03	24	75.00	32	4.56
massively	7	Abstract	1	70202	1087.16	359.99	25	-0.02	0.83	25	83.87	31	1.67
mastectomy	5	Concrete	3	50508	1311.24	451.98	25	0.87	0.91	25	78.13	32	4.09
masterful	3	Abstract	1	30190	1074.04	401.31	28	-0.12	0.69	28	90.32	31	1.93
masterly	9	Abstract	2	90476	978.11	330.70	28	0.09	1.09	28	93.33	30	1.82
mastiff	9	Concrete	1	90011	1026.50	280.68	22	-0.12	0.56	22	73.33	30	4.69
masturbate	2	Concrete	1	20031	1030.33	430.19	27	-0.08	0.98	27	93.55	31	4.18
masturbation	8	Concrete	4	80819	1078.81	384.12	27	0.36	1.08	27	90.32	31	4.03
matchbox	2	Concrete	1	20102	839.20	344.05	30	-0.66	0.69	30	100.00	31	4.78
matchstick	5	Concrete	4	50763	936.74	357.83	31	-0.14	1.00	31	96.88	32	4.96
matchwood	3	Concrete	1	30005	998.43	381.07	30	-0.23	0.92	30	96.77	31	4.15
mate	2	Concrete	3	20588	949.75	372.43	24	-0.21	0.96	24	77.42	31	4.34
materially	6	Abstract	2	60409	1134.79	401.23	28	0.40	1.00	28	93.55	31	2.28
maternal	6	Abstract	1	60244	1291.32	325.33	19	0.77	0.89	19	61.29	31	2.42
mathematician	10	Concrete	2	100351	1001.59	363.36	27	-0.11	0.87	27	84.38	32	4.38
matinee	9	Concrete	3	90622	1262.85	470.36	26	0.81	1.22	26	90.00	30	3.78
matriarch	3	Concrete	2	30326	1156.33	541.08	18	0.37	1.13	18	67.74	31	3.93
matriculation	2	Abstract	4	20989	1376.56	495.68	16	1.30	1.01	16	51.61	31	2.16
matrimony	8	Abstract	2	80476	1371.00	432.23	17	1.13	1.21	17	58.06	31	2.11
matronly	10	Abstract	2	100460	1285.39	505.22	23	0.82	1.17	23	71.88	32	2.26
matting	5	Concrete	4	50753	1265.41	407.37	22	0.97	1.45	22	65.63	32	4.12
maturation	5	Abstract	2	50496	1331.70	432.07	23	1.38	1.36	23	71.88	32	2.26
maturely	9	Abstract	3	90697	895.10	279.62	30	-0.26	0.70	30	100.00	30	2
maturing	9	Abstract	2	90462	1263.56	385.22	27	0.99	0.90	27	90.00	30	1.9
maturity	9	Abstract	4	90896	756.96	132.54	27	-0.57	0.31	27	93.33	30	1.81
mausoleum	5	Concrete	2	50282	1009.90	306.37	21	0.22	1.05	21	68.75	32	4.23
max	4	Abstract	1	40182	1303.73	421.11	22	0.74	0.91	22	65.63	32	2.18
maxim	10	Abstract	1	100250	1253.35	470.65	20	0.70	1.03	20	62.50	32	2.46
maximal	3	Abstract	3	30650	982.28	301.76	29	0.00	0.81	29	93.55	31	2.26
maximize	10	Abstract	2	100397	1041.83	358.49	23	0.11	0.89	23	71.88	32	1.79
mayflower	10	Concrete	3	100551	902.43	298.33	30	-0.34	0.80	30	93.75	32	4.36
mayhem	5	Abstract	3	50680	1086.07	393.77	28	0.17	1.05	28	87.50	32	2.24
mayo	1	Concrete	3	10605	852.48	323.29	31	-0.54	0.73	31	100.00	31	4.96
mayonnaise	10	Concrete	4	100864	928.87	457.45	30	-0.27	0.90	30	93.75	32	4.9
mayoral	4	Abstract	1	40195	1268.37	386.97	19	0.59	0.97	19	59.38	32	2.27
meager	3	Abstract	1	30249	1112.95	404.42	19	0.11	0.90	19	64.52	31	2.08
meaner	7	Abstract	3	70742	1117.62	409.32	26	0.37	1.09	26	83.87	31	2.08
meanie	9	Abstract	3	90652	1125.46	426.61	24	0.44	1.03	24	83.33	30	2.43
meaning	7	Abstract	3	70729	912.10	188.12	29	-0.17	0.49	29	93.55	31	1.85
meaningful	10	Abstract	1	100233	1011.14	483.63	29	-0.24	0.76	29	90.63	32	1.62
meaningless	9	Abstract	1	90178	995.45	272.85	29	-0.25	0.56	29	96.67	30	1.86
meanly	3	Abstract	3	30712	971.87	352.78	30	-0.01	1.02	30	96.77	31	1.93
meanness	3	Abstract	3	30659	966.87	319.82	30	-0.16	0.70	30	100.00	31	2.21
means	1	Abstract	1	10241	1024.07	296.36	29	0.06	0.86	29	93.55	31	1.93
meant	4	Abstract	1	40243	944.30	223.21	30	-0.28	0.59	30	93.75	32	1.5
meanwhile	1	Abstract	3	10635	888.84	279.87	31	-0.30	0.88	31	100.00	31	1.27
measly	10	Abstract	2	100406	1052.00	457.45	26	0.18	0.87	26	84.38	32	2
meatless	5	Concrete	4	50856	1101.09	387.53	23	0.42	1.06	23	75.00	32	3.85
mechanics	2	Concrete	2	20269	965.38	299.56	26	0.05	0.88	26	87.10	31	3.59
mechanism	8	Concrete	4	80761	1004.89	343.87	18	0.24	0.99	18	58.06	31	3.67
medallion	4	Concrete	4	40808	873.39	212.44	28	-0.19	0.68	28	90.32	31	4.68
meddle	3	Abstract	3	30703	1227.10	432.23	20	0.69	0.84	20	67.74	31	2.43
meddling	7	Abstract	2	70434	1100.65	292.25	20	0.42	0.98	20	64.52	31	2.1
medially	1	Abstract	4	10926	1056.97	494.74	29	0.24	1.10	29	93.55	31	2.08
medically	2	Abstract	1	20138	1166.95	345.15	21	0.30	1.01	21	67.74	31	2.14
medication	1	Concrete	3	10546	1035.18	315.47	28	0.06	0.69	28	90.32	31	4.53
medicine	9	Concrete	4	90806	888.50	215.47	28	-0.17	0.80	28	93.33	30	4.79
medics	2	Concrete	2	20286	1011.24	339.68	25	0.20	0.98	25	77.42	31	4.47
medieval	5	Abstract	1	50248	1103.60	380.27	15	0.71	1.36	15	46.88	32	2.46
mediocre	8	Abstract	3	80676	1038.89	369.36	27	0.14	0.88	27	90.32	31	1.62
mediocrity	6	Abstract	1	60207	1136.18	414.13	28	0.05	0.77	28	93.55	31	1.33
meditating	2	Concrete	3	20515	1324.71	687.55	17	0.95	1.45	17	51.61	31	3.59
meditative	4	Abstract	3	40712	1149.03	477.67	29	0.57	1.29	29	90.63	32	1.75
meek	4	Abstract	4	40907	926.96	243.71	25	0.01	0.76	25	78.13	32	2.22
meekly	1	Abstract	2	10379	952.33	329.68	30	-0.06	0.91	30	96.77	31	1.78
meekness	3	Abstract	1	30208	1125.87	437.88	31	0.08	0.86	31	100.00	31	1.68
meetinghouse	2	Concrete	4	20871	1003.73	345.79	30	0.29	1.05	30	100.00	31	4.58
megalomaniac	4	Abstract	1	40158	1464.61	501.28	18	1.47	1.39	18	53.13	32	2.35
megaphone	8	Concrete	4	80751	875.26	314.14	31	-0.35	0.73	31	100.00	31	4.76
melancholy	9	Abstract	3	90672	917.59	271.56	27	-0.24	0.58	27	93.33	30	2
melodic	8	Abstract	3	80699	1206.84	457.26	19	0.82	1.22	19	70.97	31	2.26
melodrama	7	Abstract	3	70743	1172.44	547.34	27	0.57	1.21	27	87.10	31	2.14
melody	8	Concrete	4	80875	1187.23	355.82	13	0.63	0.83	13	41.94	31	3.71
melon	2	Concrete	1	20123	813.61	255.25	31	-0.74	0.61	31	100.00	31	4.78
melted	10	Concrete	3	100621	1026.96	351.07	25	-0.04	0.85	25	78.13	32	3.66
memoir	7	Concrete	3	70588	1319.59	545.13	17	0.83	1.02	17	51.61	31	3.76
memorabilia	1	Concrete	2	10263	1179.24	400.66	21	0.55	0.74	21	67.74	31	4.15
memorable	10	Abstract	4	100931	1010.52	420.75	31	0.04	1.00	31	96.88	32	1.79
memorial	7	Concrete	1	70061	1229.47	373.79	15	0.66	1.09	15	45.16	31	3.68
memorialize	4	Abstract	2	40485	1076.47	400.05	30	0.25	1.10	30	96.88	32	2.47
memory	2	Abstract	3	20689	989.70	354.87	23	-0.11	0.86	23	77.42	31	2.38
menace	4	Abstract	3	40698	1056.67	326.53	24	0.57	1.36	24	75.00	32	2.3
mender	10	Concrete	2	100303	1124.63	369.95	19	0.32	1.13	19	59.38	32	3.56
meningitis	3	Concrete	2	30309	1184.55	500.42	29	0.45	0.90	29	93.55	31	4.11
menstruate	1	Concrete	2	10295	1176.38	407.02	24	0.55	0.78	24	80.65	31	3.74
menstruation	2	Concrete	1	20089	1109.85	290.22	26	0.27	0.83	26	87.10	31	4
mental	4	Abstract	2	40472	1120.36	369.19	28	0.40	0.99	28	87.50	32	2.04
mentality	8	Abstract	1	80197	1024.03	324.34	29	-0.02	0.84	29	96.77	31	2
mentally	9	Abstract	2	90475	984.93	337.18	28	-0.01	0.81	28	96.67	30	1.93
menthol	3	Concrete	3	30515	1029.07	355.60	30	0.12	0.93	30	100.00	31	3.85
mentor	4	Concrete	4	40846	867.76	271.12	29	-0.16	1.00	29	100.00	31	3.7
merchandise	9	Concrete	4	90856	964.92	325.66	26	0.03	0.98	26	86.67	30	4.52
merchant	4	Concrete	3	40588	807.84	209.69	31	-0.51	0.56	31	96.88	32	4.31
merchantman	1	Concrete	1	10026	1070.84	503.05	31	0.05	1.04	31	100.00	31	4.19
