Word	VersionNum	WordType	Block	Word_ID_unique	RTclean_mean	RTclean_sd	Rtclean_n	zRTclean_mean	zRTclean_sd	zRTclean_n	ACC	ACC_n	Concrete_rating
admissible	4	Abstract	3	40720	982.32	263.26	31	0.13	0.85	31	96.88	32	1.88
admit	6	Abstract	1	60126	1058.83	367.48	24	-0.17	0.80	24	77.42	31	2.32
admittance	2	Abstract	3	20677	1138.58	426.49	26	0.34	0.90	26	90.32	31	2.26
admittedly	2	Abstract	2	20409	1006.26	398.96	31	0.03	1.00	31	100.00	31	1.54
adobe	1	Concrete	2	10329	1395.69	497.33	13	0.89	0.83	13	41.94	31	4.19
adopt	2	Abstract	1	20224	1072.71	329.66	14	0.09	0.94	14	45.16	31	2.36
adopted	5	Abstract	3	50718	1067.86	417.98	22	0.06	1.11	22	68.75	32	2.39
adoptive	6	Abstract	4	60923	1126.20	470.94	30	0.30	1.13	30	96.77	31	2
adorable	5	Abstract	4	50897	904.77	352.50	30	-0.32	0.85	30	96.88	32	1.86
adorably	7	Abstract	2	70396	915.17	285.58	30	-0.20	0.80	30	96.77	31	1.96
adoration	10	Abstract	4	100982	1070.53	437.28	30	0.20	1.00	30	96.88	32	2.19
adore	1	Abstract	3	10726	891.52	289.52	27	-0.30	0.93	27	87.10	31	2.34
adorn	5	Abstract	1	50159	1115.62	417.87	26	0.32	1.07	26	81.25	32	2.38
adulteress	1	Concrete	2	10364	1309.27	495.83	22	1.26	1.36	22	61.29	31	3.72
advancement	4	Abstract	1	40185	1026.07	254.21	28	0.00	0.79	28	87.50	32	2.1
advantage	8	Abstract	1	80175	997.38	304.84	29	-0.15	0.85	29	93.55	31	2
advent	3	Abstract	1	30206	1214.29	449.28	21	0.51	1.14	21	70.97	31	2.48
adventurer	3	Concrete	2	30319	934.76	356.51	29	-0.25	0.74	29	93.55	31	3.73
adventurous	1	Abstract	1	10152	1067.54	441.71	26	0.17	1.06	26	83.87	31	1.95
adverb	10	Abstract	3	100638	1128.31	480.64	26	0.29	1.13	26	81.25	32	2.25
adverse	10	Abstract	4	100986	892.13	416.94	30	-0.38	0.90	30	93.75	32	2.23
adversity	10	Abstract	1	100208	1209.74	435.61	27	0.46	0.72	27	87.50	32	1.44
advertisement	6	Concrete	1	60047	1031.41	440.82	27	-0.18	0.95	27	90.32	31	3.77
advertiser	6	Concrete	3	60616	1059.70	496.27	30	0.04	1.11	30	96.77	31	3.93
advertising	7	Concrete	3	70582	1088.89	510.80	18	0.28	0.98	18	54.84	31	3.88
advisable	4	Abstract	1	40138	970.63	253.93	32	-0.19	0.73	32	100.00	32	1.93
advise	9	Abstract	3	90714	892.04	311.20	28	-0.29	0.81	28	96.67	30	2.03
advised	2	Abstract	3	20730	994.84	433.87	31	0.00	1.01	31	100.00	31	2.45
advisedly	1	Abstract	2	10413	1009.17	314.46	30	-0.02	0.84	30	96.77	31	1.58
adviser	9	Concrete	4	90861	963.21	291.59	28	0.01	0.77	28	93.33	30	3.67
advisor	2	Concrete	4	20785	826.50	218.42	28	-0.44	0.76	28	90.32	31	4.15
advocacy	4	Abstract	3	40736	967.21	271.62	29	0.05	0.81	29	90.63	32	2
aerosol	5	Concrete	3	50522	1027.66	379.37	29	-0.07	0.95	29	93.75	32	4.23
aesthetic	10	Abstract	3	100709	942.79	273.62	19	-0.03	0.67	19	62.50	32	2.33
affable	9	Abstract	3	90682	957.13	282.85	30	-0.08	0.76	30	100.00	30	1.7
affair	9	Abstract	3	90708	908.33	360.02	21	-0.37	1.01	21	70.00	30	2.45
affect	8	Abstract	1	80213	1022.09	331.93	23	0.01	0.84	23	80.65	31	1.93
affected	8	Abstract	2	80396	908.13	240.21	31	-0.27	0.54	31	100.00	31	1.93
affection	7	Abstract	1	70185	1098.19	420.02	27	0.08	1.03	27	87.10	31	2.22
affidavit	2	Concrete	1	20087	1091.15	284.18	13	0.36	1.20	13	41.94	31	4
affirm	5	Abstract	1	50167	1107.58	356.81	31	0.35	1.00	31	96.88	32	1.96
affirmation	3	Abstract	2	30496	956.03	348.93	29	-0.20	0.80	29	93.55	31	2.12
affix	1	Abstract	2	10462	1083.92	467.86	26	0.12	1.03	26	83.87	31	2.44
afflict	8	Abstract	4	80917	927.28	310.51	29	-0.15	0.80	29	100.00	31	2.14
affliction	6	Abstract	4	60915	1044.74	411.65	31	0.16	1.25	31	100.00	31	2.27
affluence	7	Abstract	1	70147	1066.87	340.72	30	0.05	0.75	30	96.77	31	2.15
affluent	1	Abstract	1	10213	1151.67	391.07	30	0.33	1.01	30	96.77	31	1.83
afford	5	Abstract	4	50965	866.21	332.78	29	-0.40	0.81	29	93.75	32	1.83
affront	2	Abstract	2	20496	1039.04	426.43	28	0.10	0.72	28	90.32	31	1.83
affronted	4	Abstract	1	40144	1026.22	495.09	27	-0.14	1.01	27	87.50	32	2.04
aflame	6	Concrete	4	60868	1100.80	319.62	20	0.36	0.68	20	64.52	31	3.77
afoot	5	Abstract	1	50141	1115.50	421.36	26	0.31	1.07	26	81.25	32	2.48
afro	8	Concrete	4	80816	826.55	198.09	29	-0.52	0.42	29	93.55	31	4.52
afterbirth	2	Concrete	3	20624	1280.40	628.86	20	1.04	1.39	20	61.29	31	4.57
afterlife	10	Abstract	3	100728	1042.23	409.27	26	0.25	1.02	26	84.38	32	1.9
aftermath	10	Abstract	2	100409	1229.57	437.00	23	0.64	0.64	23	71.88	32	1.97
afternoon	All	Concrete											3.7
aftershave	5	Concrete	2	50315	997.00	293.88	30	0.01	0.94	30	93.75	32	4.56
ageless	4	Abstract	4	40996	981.40	317.41	25	0.13	0.84	25	78.13	32	2.03
agency	4	Concrete	2	40314	1019.09	363.19	23	0.04	1.13	23	71.88	32	3.87
aggravate	8	Abstract	3	80684	1004.39	417.96	31	-0.01	1.12	31	100.00	31	2.26
aggravating	2	Abstract	2	20385	1021.06	349.73	31	0.11	0.90	31	100.00	31	1.86
aghast	9	Abstract	2	90489	1043.76	435.69	25	0.15	0.90	25	83.33	30	1.96
agility	3	Abstract	2	30452	888.33	387.01	24	-0.30	1.05	24	83.87	31	2.38
agitation	5	Abstract	3	50669	1054.82	327.19	28	0.24	0.93	28	90.63	32	2.33
aglow	1	Abstract	3	10628	1199.65	589.47	20	0.50	1.20	20	64.52	31	2.29
ago	10	Abstract	4	100917	1040.48	373.88	31	0.30	1.29	31	96.88	32	1.42
agonize	8	Abstract	3	80651	1021.24	371.60	29	0.06	0.88	29	96.77	31	1.97
agony	1	Abstract	2	10401	931.87	291.93	31	-0.19	0.85	31	100.00	31	2.38
agree	8	Abstract	4	80925	879.57	286.10	30	-0.33	1.02	30	96.77	31	2.31
agreeable	4	Abstract	1	40161	978.81	296.12	32	-0.21	0.76	32	100.00	32	2.07
agreeing	1	Abstract	2	10472	1024.68	361.22	28	0.07	0.93	28	90.32	31	2.48
agreement	1	Abstract	3	10716	1209.07	474.67	28	0.50	1.16	28	90.32	31	2.22
agriculture	8	Concrete	4	80860	1017.61	363.46	28	0.09	0.88	28	90.32	31	3.67
ahoy	3	Abstract	4	30895	1042.19	409.42	21	0.22	1.01	21	67.74	31	2
aides	5	Concrete	3	50624	1334.47	571.20	17	0.85	1.17	17	50.00	32	3.75
aimless	7	Abstract	3	70747	1092.35	504.53	31	0.27	1.21	31	100.00	31	1.57
aimlessly	4	Abstract	4	40902	890.79	279.44	29	-0.11	0.93	29	93.55	31	1.86
airbase	7	Concrete	2	70363	887.45	319.00	29	-0.29	0.73	29	96.77	31	4.29
aircraft	6	Concrete	1	60098	886.68	241.25	31	-0.52	0.93	31	100.00	31	4.4
aircraftsman	2	Concrete	1	20106	999.41	347.23	29	-0.15	0.67	29	93.55	31	4
aircrew	6	Concrete	2	60309	1007.67	492.78	30	-0.06	0.95	30	96.77	31	4.04
airfield	4	Concrete	2	40288	1043.60	474.59	30	0.08	1.13	30	93.75	32	4.7
airflow	8	Concrete	2	80370	1028.19	269.54	27	0.16	0.86	27	90.32	31	3.59
airlift	5	Concrete	3	50523	1070.75	424.37	28	0.02	0.91	28	90.63	32	3.62
airliner	10	Concrete	3	100610	860.90	232.33	29	-0.34	0.63	29	90.63	32	4.45
airman	3	Concrete	3	30621	879.00	252.63	28	-0.41	0.68	28	90.32	31	4.25
airplane	8	Concrete	1	80058	746.10	216.54	31	-0.89	0.51	31	100.00	31	4.96
airport	7	Concrete	2	70321	772.20	353.17	30	-0.73	1.06	30	96.77	31	4.87
airspace	3	Concrete	4	30837	950.40	395.12	30	-0.13	1.07	30	96.77	31	3.58
airstrip	2	Concrete	2	20304	948.94	391.07	31	-0.14	0.88	31	100.00	31	4.68
airway	3	Concrete	4	30860	898.56	309.53	27	-0.22	0.81	27	90.32	31	4.34
airy	10	Abstract	3	100722	1044.00	238.08	24	0.03	0.58	24	78.13	32	2.04
aisle	5	Concrete	1	50069	1046.20	417.00	30	0.14	0.96	30	90.63	32	4.35
akin	6	Abstract	2	60391	1084.82	333.33	22	0.37	0.92	22	70.97	31	1.71
alabaster	3	Concrete	1	30089	1297.56	462.72	18	0.52	1.10	18	58.06	31	3.81
alarm	2	Concrete	2	20369	882.76	275.14	29	-0.41	0.78	29	93.55	31	4.47
albacore	8	Concrete	2	80368	1128.00	419.04	20	0.67	1.18	20	67.74	31	3.71
albatross	10	Concrete	4	100857	1068.33	507.65	24	0.27	1.21	24	75.00	32	4.81
albino	1	Concrete	4	10857	1014.86	355.34	28	0.03	0.82	28	93.55	31	4.41
