verb,chapter,category,subcategory,extra_specifications,page
telex,37.4,verbs of communication,verbs of instrument of communication,,p. 206
wire,37.4,verbs of communication,verbs of instrument of communication,,p. 206
wireless,37.4,verbs of communication,verbs of instrument of communication,,p. 206
speak,37.5,verbs of communication,talk verbs,,p. 207
talk,37.5,verbs of communication,talk verbs,,p. 207
argue,37.6,verbs of communication,chitchat verbs,,p. 208
chat,37.6,verbs of communication,chitchat verbs,,p. 208
chatter,37.6,verbs of communication,chitchat verbs,,p. 208
chitchat,37.6,verbs of communication,chitchat verbs,,p. 208
confer,37.6,verbs of communication,chitchat verbs,,p. 208
converse,37.6,verbs of communication,chitchat verbs,,p. 208
gabble,37.6,verbs of communication,chitchat verbs,,p. 208
gossip,37.6,verbs of communication,chitchat verbs,,p. 208
rap,37.6,verbs of communication,chitchat verbs,,p. 208
schmooze,37.6,verbs of communication,chitchat verbs,,p. 208
yak,37.6,verbs of communication,chitchat verbs,,p. 208
announce,37.7,verbs of communication,say verbs,,p. 209
articulate,37.7,verbs of communication,say verbs,,p. 209
blab,37.7,verbs of communication,say verbs,,p. 209
blurt,37.7,verbs of communication,say verbs,,p. 209
claim,37.7,verbs of communication,say verbs,,p. 209
confess,37.7,verbs of communication,say verbs,,p. 209
confide,37.7,verbs of communication,say verbs,,p. 209
convey,37.7,verbs of communication,say verbs,,p. 209
declare,37.7,verbs of communication,say verbs,,p. 209
mention,37.7,verbs of communication,say verbs,,p. 209
note,37.7,verbs of communication,say verbs,,p. 209
observe,37.7,verbs of communication,say verbs,,p. 209
proclaim,37.7,verbs of communication,say verbs,,p. 209
propose,37.7,verbs of communication,say verbs,,p. 209
recount,37.7,verbs of communication,say verbs,,p. 209
reiterate,37.7,verbs of communication,say verbs,,p. 209
relate,37.7,verbs of communication,say verbs,,p. 209
remark,37.7,verbs of communication,say verbs,,p. 209
repeat,37.7,verbs of communication,say verbs,,p. 209
report,37.7,verbs of communication,say verbs,,p. 209
reveal,37.7,verbs of communication,say verbs,,p. 209
say,37.7,verbs of communication,say verbs,,p. 209
state,37.7,verbs of communication,say verbs,,p. 209
suggest,37.7,verbs of communication,say verbs,,p. 209
boast,37.8,verbs of communication,complain verbs,,p. 210
brag,37.8,verbs of communication,complain verbs,,p. 210
complain,37.8,verbs of communication,complain verbs,,p. 210
crab,37.8,verbs of communication,complain verbs,,p. 210
gripe,37.8,verbs of communication,complain verbs,,p. 210
grouch,37.8,verbs of communication,complain verbs,,p. 210
grouse,37.8,verbs of communication,complain verbs,,p. 210
grumble,37.8,verbs of communication,complain verbs,,p. 210
kvetch,37.8,verbs of communication,complain verbs,,p. 210
object,37.8,verbs of communication,complain verbs,,p. 210
admonish,37.9,verbs of communication,advise verbs,,p. 211
advise,37.9,verbs of communication,advise verbs,,p. 211
alert,37.9,verbs of communication,advise verbs,,p. 211
caution,37.9,verbs of communication,advise verbs,,p. 211
counsel,37.9,verbs of communication,advise verbs,,p. 211
instruct,37.9,verbs of communication,advise verbs,,p. 211
warn,37.9,verbs of communication,advise verbs,,p. 211
baa,38,verbs of sounds made by animals,,,p. 212
bark,38,verbs of sounds made by animals,,,p. 212
bay,38,verbs of sounds made by animals,,,p. 212
bellow,38,verbs of sounds made by animals,,,p. 212
blat,38,verbs of sounds made by animals,,,p. 212
bleat,38,verbs of sounds made by animals,,,p. 212
bray,38,verbs of sounds made by animals,,,p. 212
buzz,38,verbs of sounds made by animals,,,p. 212
cackle,38,verbs of sounds made by animals,,,p. 212
call,38,verbs of sounds made by animals,,,p. 212
caw,38,verbs of sounds made by animals,,,p. 212
chatter,38,verbs of sounds made by animals,,,p. 212
cheep,38,verbs of sounds made by animals,,,p. 212
chirp,38,verbs of sounds made by animals,,,p. 212
chirrup,38,verbs of sounds made by animals,,,p. 212
chitter,38,verbs of sounds made by animals,,,p. 212
cluck,38,verbs of sounds made by animals,,,p. 212
coo,38,verbs of sounds made by animals,,,p. 212
croak,38,verbs of sounds made by animals,,,p. 212
crow,38,verbs of sounds made by animals,,,p. 212
cuckoo,38,verbs of sounds made by animals,,,p. 212
drone,38,verbs of sounds made by animals,,,p. 212
gobble,38,verbs of sounds made by animals,,,p. 212
growl,38,verbs of sounds made by animals,,,p. 212
grunt,38,verbs of sounds made by animals,,,p. 212
hee-haw,38,verbs of sounds made by animals,,,p. 212
hiss,38,verbs of sounds made by animals,,,p. 212
honk,38,verbs of sounds made by animals,,,p. 212
hoot,38,verbs of sounds made by animals,,,p. 212
howl,38,verbs of sounds made by animals,,,p. 212
low,38,verbs of sounds made by animals,,,p. 212
meow,38,verbs of sounds made by animals,,,p. 212
mew,38,verbs of sounds made by animals,,,p. 212
moo,38,verbs of sounds made by animals,,,p. 212
neigh,38,verbs of sounds made by animals,,,p. 212
oink,38,verbs of sounds made by animals,,,p. 212
peep,38,verbs of sounds made by animals,,,p. 212
pipe,38,verbs of sounds made by animals,,,p. 212
purr,38,verbs of sounds made by animals,,,p. 212
quack,38,verbs of sounds made by animals,,,p. 212
roar,38,verbs of sounds made by animals,,,p. 212
scrawk,38,verbs of sounds made by animals,,,p. 212
scream,38,verbs of sounds made by animals,,,p. 212
screech,38,verbs of sounds made by animals,,,p. 212
sing,38,verbs of sounds made by animals,,,p. 212
snap,38,verbs of sounds made by animals,,,p. 212
snarl,38,verbs of sounds made by animals,,,p. 212
snort,38,verbs of sounds made by animals,,,p. 212
snuffle,38,verbs of sounds made by animals,,,p. 212
squawk,38,verbs of sounds made by animals,,,p. 212
squeak,38,verbs of sounds made by animals,,,p. 212
squeal,38,verbs of sounds made by animals,,,p. 212
stridulate,38,verbs of sounds made by animals,,,p. 212
trill,38,verbs of sounds made by animals,,,p. 212
tweet,38,verbs of sounds made by animals,,,p. 212
twitter,38,verbs of sounds made by animals,,,p. 212
wail,38,verbs of sounds made by animals,,,p. 212
warble,38,verbs of sounds made by animals,,,p. 212
whimper,38,verbs of sounds made by animals,,,p. 212
whinny,38,verbs of sounds made by animals,,,p. 212
whistle,38,verbs of sounds made by animals,,,p. 212
woof,38,verbs of sounds made by animals,,,p. 212
yap,38,verbs of sounds made by animals,,,p. 212
yell,38,verbs of sounds made by animals,,,p. 212
yelp,38,verbs of sounds made by animals,,,p. 212
yip,38,verbs of sounds made by animals,,,p. 212
yowl,38,verbs of sounds made by animals,,,p. 212
drink,39.1,verbs of ingesting,eat verbs,,p. 213
eat,39.1,verbs of ingesting,eat verbs,,p. 213
chew,39.2,verbs of ingesting,chew verbs,,p. 214
chomp,39.2,verbs of ingesting,chew verbs,,p. 214
crunch,39.2,verbs of ingesting,chew verbs,,p. 214
gnaw,39.2,verbs of ingesting,chew verbs,,p. 214
lick,39.2,verbs of ingesting,chew verbs,,p. 214
munch,39.2,verbs of ingesting,chew verbs,,p. 214
nibble,39.2,verbs of ingesting,chew verbs,,p. 214
pick,39.2,verbs of ingesting,chew verbs,,p. 214
peck,39.2,verbs of ingesting,chew verbs,,p. 214
sip,39.2,verbs of ingesting,chew verbs,,p. 214
slurp,39.2,verbs of ingesting,chew verbs,,p. 214
suck,39.2,verbs of ingesting,chew verbs,,p. 214
bolt,39.3,verbs of ingesting,gobble verbs,,p. 214
gobble,39.3,verbs of ingesting,gobble verbs,,p. 214
gulp,39.3,verbs of ingesting,gobble verbs,,p. 214
guzzle,39.3,verbs of ingesting,gobble verbs,,p. 214
quaff,39.3,verbs of ingesting,gobble verbs,,p. 214
swallow,39.3,verbs of ingesting,gobble verbs,,p. 214
swig,39.3,verbs of ingesting,gobble verbs,,p. 214
wolf,39.3,verbs of ingesting,gobble verbs,,p. 214
consume,39.4,verbs of ingesting,devour verbs,,p. 215
devour,39.4,verbs of ingesting,devour verbs,,p. 215
imbibe,39.4,verbs of ingesting,devour verbs,,p. 215
ingest,39.4,verbs of ingesting,devour verbs,,p. 215
swill,39.4,verbs of ingesting,devour verbs,,p. 215
banquet,39.5,verbs of ingesting,devine verbs,,p. 215
breakfast,39.5,verbs of ingesting,devine verbs,,p. 215
brunch,39.5,verbs of ingesting,devine verbs,,p. 215
dine,39.5,verbs of ingesting,devine verbs,,p. 215
feast,39.5,verbs of ingesting,devine verbs,,p. 215
graze,39.5,verbs of ingesting,devine verbs,,p. 215
lunch,39.5,verbs of ingesting,devine verbs,,p. 215
luncheon,39.5,verbs of ingesting,devine verbs,,p. 215
nosh,39.5,verbs of ingesting,devine verbs,,p. 215
picnic,39.5,verbs of ingesting,devine verbs,,p. 215
snack,39.5,verbs of ingesting,devine verbs,,p. 215
sup,39.5,verbs of ingesting,devine verbs,,p. 215
exist,39.6,verbs of ingesting,gorge verbs,,p. 216
feed,39.6,verbs of ingesting,gorge verbs,,p. 216
flourish,39.6,verbs of ingesting,gorge verbs,,p. 216
gorge,39.6,verbs of ingesting,gorge verbs,,p. 216
live,39.6,verbs of ingesting,gorge verbs,,p. 216
prosper,39.6,verbs of ingesting,gorge verbs,,p. 216
survive,39.6,verbs of ingesting,gorge verbs,,p. 216
thrive,39.6,verbs of ingesting,gorge verbs,,p. 216
bottlefeed,39.7,verbs of ingesting,verbs of feeding,,p. 216
breastfeed,39.7,verbs of ingesting,verbs of feeding,,p. 216
feed,39.7,verbs of ingesting,verbs of feeding,,p. 216
forcefeed,39.7,verbs of ingesting,verbs of feeding,,p. 216
handfeed,39.7,verbs of ingesting,verbs of feeding,,p. 216
spoonfeed,39.7,verbs of ingesting,verbs of feeding,,p. 216
belch,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
blush,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
burp,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
flush,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
hiccup,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
pant,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
sneeze,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
niffle,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
snore,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
snuffle,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
swallow,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
wheeze,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
yawn,40.1.1,verbs involving the body,verbs of bodily processes,hiccup verbs,p. 217
bleed,40.1.2,verbs involving the body,verbs of bodily processes,breathe verbs,p. 218
breathe,40.1.2,verbs involving the body,verbs of bodily processes,breathe verbs,p. 218
cough,40.1.2,verbs involving the body,verbs of bodily processes,breathe verbs,p. 218
cry,40.1.2,verbs involving the body,verbs of bodily processes,breathe verbs,p. 218
dribble,40.1.2,verbs involving the body,verbs of bodily processes,breathe verbs,p. 218
drool,40.1.2,verbs involving the body,verbs of bodily processes,breathe verbs,p. 218
puke,40.1.2,verbs involving the body,verbs of bodily processes,breathe verbs,p. 218
spit,40.1.2,verbs involving the body,verbs of bodily processes,breathe verbs,p. 218
sweat,40.1.2,verbs involving the body,verbs of bodily processes,breathe verbs,p. 218
vomit,40.1.2,verbs involving the body,verbs of bodily processes,breathe verbs,p. 218
?weep,40.1.2,verbs involving the body,verbs of bodily processes,breathe verbs,p. 218
exhale,40.1.3,verbs involving the body,verbs of bodily processes,exhale verbs,p. 218
inhale,40.1.3,verbs involving the body,verbs of bodily processes,exhale verbs,p. 218
perspire,40.1.3,verbs involving the body,verbs of bodily processes,exhale verbs,p. 218
beam,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
cackle,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
chortle,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
chuckle,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
cough,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
cry,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
frown,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
gape,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
gasp,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
gawk,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
giggle,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
glare,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
glower,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
goggle,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
grimace,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
grin,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
groan,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
growl,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
guffaw,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
howl,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
jeer,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
laugh,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
moan,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
pout,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
scowl,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
sigh,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
simper,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
smile,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
smirk,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
sneeze,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
snicker,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
sniff,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
snigger,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
snivel,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
snore,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
snort,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
sob,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
titter,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
weep,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
whistle,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
yawn,40.2,verbs involving the body,verbs of nonverbal expression,,p. 219
blink (eye),40.3.1,verbs involving the body,verbs of gestures/signs involving body parts,wink verbs,p. 220
clap (hands),40.3.1,verbs involving the body,verbs of gestures/signs involving body parts,wink verbs,p. 220
nod (head),40.3.1,verbs involving the body,verbs of gestures/signs involving body parts,wink verbs,p. 220
point (finger),40.3.1,verbs involving the body,verbs of gestures/signs involving body parts,wink verbs,p. 220
shrug (shoulders),40.3.1,verbs involving the body,verbs of gestures/signs involving body parts,wink verbs,p. 220
squint (eyes),40.3.1,verbs involving the body,verbs of gestures/signs involving body parts,wink verbs,p. 220
wag (tail),40.3.1,verbs involving the body,verbs of gestures/signs involving body parts,wink verbs,p. 220
wave (hand),40.3.1,verbs involving the body,verbs of gestures/signs involving body parts,wink verbs,p. 220
wink (eye),40.3.1,verbs involving the body,verbs of gestures/signs involving body parts,wink verbs,p. 220
"arch (back, neck)",40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
bare (teeth),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
bat (eyelashes),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
beat (feet),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
blow (nose),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
clench (fists),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
"click (heels, tongue)",40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
close (eyes),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
cock (head),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
crane (neck),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
crook (finger),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
"cross (arms, eyes, legs)",40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
drum (finger),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
flap (wings),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
flash (teeth),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
flex (muscles),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
flick (finger),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
flutter (eyelashes),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
fold (arms),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
gnash (teeth),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
grind (teeth),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
hang (head),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
hunch (shoulders),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
kick,40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
knit (eyebrows),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
open (eyes),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
pucker (lips),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
purse (lips),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
"raise (eyebrows, hand)",40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
roll (eyes),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
rub (hands),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
"shake (head, fist, hands)",40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
show (teeth),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
shuffle (feet),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
smack (lips),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
snap (fingers),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
stamp (foot),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
stretch (legs),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
toss (mane),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
turn (head),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
twiddle (thumbs),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
"twitch (ears, nose)",40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
"wag (finger, tail)",40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
waggle (ears),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
"wiggle (ears, hips, nose)",40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
wring (hands),40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
"wrinkle (forehead, nose)",40.3.2,verbs involving the body,verbs of gestures/signs involving body parts,crane verbs,p. 221
bob,40.3.3,verbs involving the body,verbs of gestures/signs involving body parts,curtsey verbs,p. 222
bow,40.3.3,verbs involving the body,verbs of gestures/signs involving body parts,curtsey verbs,p. 222
curtsey,40.3.3,verbs involving the body,verbs of gestures/signs involving body parts,curtsey verbs,p. 222
genuflect,40.3.3,verbs involving the body,verbs of gestures/signs involving body parts,curtsey verbs,p. 222
kneel,40.3.3,verbs involving the body,verbs of gestures/signs involving body parts,curtsey verbs,p. 222
salaam,40.3.3,verbs involving the body,verbs of gestures/signs involving body parts,curtsey verbs,p. 222
salute,40.3.3,verbs involving the body,verbs of gestures/signs involving body parts,curtsey verbs,p. 222
catnap,40.4,verbs involving the body,snooze verbs,,p. 222
doze,40.4,verbs involving the body,snooze verbs,,p. 222
drowse,40.4,verbs involving the body,snooze verbs,,p. 222
nap,40.4,verbs involving the body,snooze verbs,,p. 222
sleep,40.4,verbs involving the body,snooze verbs,,p. 222
slumber,40.4,verbs involving the body,snooze verbs,,p. 222
snooze,40.4,verbs involving the body,snooze verbs,,p. 222
?balk,40.5,verbs involving the body,flinch verbs,,p. 223
cower,40.5,verbs involving the body,flinch verbs,,p. 223
cringe,40.5,verbs involving the body,flinch verbs,,p. 223
flinch,40.5,verbs involving the body,flinch verbs,,p. 223
recoil,40.5,verbs involving the body,flinch verbs,,p. 223
shrink,40.5,verbs involving the body,flinch verbs,,p. 223
wince,40.5,verbs involving the body,flinch verbs,,p. 223
convulse,40.6,verbs involving the body,verbs of body-internal states of existence,,p. 223
cower,40.6,verbs involving the body,verbs of body-internal states of existence,,p. 223
quake,40.6,verbs involving the body,verbs of body-internal states of existence,,p. 223
quiver,40.6,verbs involving the body,verbs of body-internal states of existence,,p. 223
shake,40.6,verbs involving the body,verbs of body-internal states of existence,,p. 223
shiver,40.6,verbs involving the body,verbs of body-internal states of existence,,p. 223
shudder,40.6,verbs involving the body,verbs of body-internal states of existence,,p. 223
tremble,40.6,verbs involving the body,verbs of body-internal states of existence,,p. 223
writhe,40.6,verbs involving the body,verbs of body-internal states of existence,,p. 223
asphyxiate,40.7,verbs involving the body,suffocate verbs,,p. 224
choke,40.7,verbs involving the body,suffocate verbs,,p. 224
drown,40.7,verbs involving the body,suffocate verbs,,p. 224
?stifle,40.7,verbs involving the body,suffocate verbs,,p. 224
suffocate,40.7,verbs involving the body,suffocate verbs,,p. 224
ache,40.8.1,verbs involving the body,verbs of bodily state and damage to the body,pain verbs,p. 224
bother,40.8.1,verbs involving the body,verbs of bodily state and damage to the body,pain verbs,p. 224
hurt,40.8.1,verbs involving the body,verbs of bodily state and damage to the body,pain verbs,p. 224
itch,40.8.1,verbs involving the body,verbs of bodily state and damage to the body,pain verbs,p. 224
pain,40.8.1,verbs involving the body,verbs of bodily state and damage to the body,pain verbs,p. 224
(mouth) burn,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
hum,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
"(head, heart) pound",40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
prickle,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
(lips) pucker,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
(head) reel,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
(eyes) smart,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
(head) spin,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
(head) split,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
sting,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
(head) swim,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
throb,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
(throat) tickle,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
tingle,40.8.2,verbs involving the body,verbs of bodily state and damage to the body,tingle verbs,p. 225
bark (shin),40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
bite (lip),40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
bump,40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
burn,40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
breakfast,40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
bruise,40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
chip (tooth),40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
cut,40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
fracture,40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
hurt,40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
injure,40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
"nick (chin, leg)",40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
prick (finger),40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
pull (muscle),40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
rupture,40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
scald,40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
scratch (chin),40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
skin (knee),40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
split (lip),40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
"sprain (ankle, back, knee, wrist)",40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
strain,40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
stub (toe),40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
turn (ankle),40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
twist (ankle),40.8.3,verbs involving the body,verbs of bodily state and damage to the body,hurt verbs,p. 225
blanch,40.8.4,verbs involving the body,verbs of bodily state and damage to the body,verbs of change of bodily state,p. 226
faint,40.8.4,verbs involving the body,verbs of bodily state and damage to the body,verbs of change of bodily state,p. 226
sicken,40.8.4,verbs involving the body,verbs of bodily state and damage to the body,verbs of change of bodily state,p. 226
swoon,40.8.4,verbs involving the body,verbs of bodily state and damage to the body,verbs of change of bodily state,p. 226
bathe,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
change,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
isrobe,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
dress,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
exercise,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
preen,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
primp,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
shave,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
shower,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
strip,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
undress,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
wash,41.1.1,verbs of grooming and bodily care,verbs of caring for the whole body,dress verbs,p. 227
curry,41.1.2,verbs of grooming and bodily care,verbs of caring for the whole body,groom verbs,p. 228
groom,41.1.2,verbs of grooming and bodily care,verbs of caring for the whole body,groom verbs,p. 228
brush (teeth),41.2.1,verbs of grooming and bodily care,verbs of caring for a specific body part,floss verbs,p. 228
