!term,mean_cos,SemD,BNC_wordcount,BNC_contexts,BNC_freq,lg_BNC_freq,,,,,,,,,,,,,,,
accompanying,0.01,2.06,992,918,11.4,1.09,,,,,,,,,,,,,,,
accomplice,0.030705922,1.51,186,161,2.1,0.50,,,,,,,,,,,,,,,
accomplices,0.0310,1.51,73,67,0.8,0.26,,,,,,,,,,,,,,,
accomplish,0.01,1.88,252,242,2.9,0.59,,,,,,,,,,,,,,,
accomplished,0.007592097,2.12,911,879,10.5,1.06,,,,,,,,,,,,,,,
accomplishing,0.01,2.08,50,49,0.6,0.20,,,,,,,,,,,,,,,
accomplishment,0.01,1.83,128,123,1.5,0.39,,,,,,,,,,,,,,,
accomplishments,0.02,1.77,87,83,1.0,0.30,,,,,,,,,,,,,,,
accord,0.0131,1.88,1262,991,14.5,1.19,,,,,,,,,,,,,,,
accordance,0.019665576,1.71,1963,1582,22.6,1.37,,,,,,,,,,,,,,,
accorded,0.012895612,1.89,481,459,5.5,0.81,,,,,,,,,,,,,,,
according,0.006044254,2.22,15194,11935,174.6,2.24,,,,,,,,,,,,,,,
accordingly,0.01,1.96,2209,2010,25.4,1.42,,,,,,,,,,,,,,,
accordion,0.063949613,1.19,85,71,1.0,0.30,,,,,,,,,,,,,,,
accords,0.02,1.75,253,228,2.9,0.59,,,,,,,,,,,,,,,
accosted,0.02,1.71,52,52,0.6,0.20,,,,,,,,,,,,,,,
account,0.007801511,2.11,15511,10710,178.3,2.25,,,,,,,,,,,,,,,
accountability,0.0478,1.32,1160,649,13.3,1.16,,,,,,,,,,,,,,,
accountable,0.03,1.52,617,493,7.1,0.91,,,,,,,,,,,,,,,
accountancy,0.09,1.04,780,491,9.0,1.00,,,,,,,,,,,,,,,
accountant,0.03,1.49,749,547,8.6,0.98,,,,,,,,,,,,,,,
accountants,0.054342209,1.26,1282,818,14.7,1.20,,,,,,,,,,,,,,,
accounted,0.01313248,1.88,1356,1171,15.6,1.22,,,,,,,,,,,,,,,
accounting,0.046683436,1.33,3563,1570,41.0,1.62,,,,,,,,,,,,,,,
accounts,0.02,1.75,6635,4051,76.3,1.89,,,,,,,,,,,,,,,
accreditation,0.074866499,1.13,286,175,3.3,0.63,,,,,,,,,,,,,,,
accredited,0.045587159,1.34,212,174,2.4,0.54,,,,,,,,,,,,,,,
accretion,0.073850668,1.13,119,70,1.4,0.37,,,,,,,,,,,,,,,
accruals,0.4104,0.39,102,41,1.2,0.34,,,,,,,,,,,,,,,
accrue,0.02,1.69,179,173,2.1,0.49,,,,,,,,,,,,,,,
accrued,0.036875177,1.43,246,182,2.8,0.58,,,,,,,,,,,,,,,
accruing,0.030408195,1.52,133,120,1.5,0.40,,,,,,,,,,,,,,,
accumulate,0.013422845,1.87,352,321,4.0,0.70,,,,,,,,,,,,,,,
accumulated,0.01,2.05,774,710,8.9,1.00,,,,,,,,,,,,,,,
accumulates,0.04,1.39,80,78,0.9,0.28,,,,,,,,,,,,,,,
accumulating,0.010954375,1.96,212,201,2.4,0.54,,,,,,,,,,,,,,,
accumulation,0.0279,1.55,886,611,10.2,1.05,,,,,,,,,,,,,,,
accumulations,0.034125028,1.47,79,68,0.9,0.28,,,,,,,,,,,,,,,
accumulator,0.31796864,0.50,226,60,2.6,0.56,,,,,,,,,,,,,,,
accuracy,0.01,1.88,1641,1311,18.9,1.30,,,,,,,,,,,,,,,
accurate,0.008982523,2.05,2705,2375,31.1,1.51,,,,,,,,,,,,,,,
accurately,0.009673896,2.01,1334,1239,15.3,1.21,,,,,,,,,,,,,,,
accusation,0.016830833,1.77,422,398,4.9,0.77,,,,,,,,,,,,,,,
accusations,0.0144,1.84,682,625,7.8,0.95,,,,,,,,,,,,,,,
accuse,0.0134,1.87,327,315,3.8,0.68,,,,,,,,,,,,,,,
accused,0.019205265,1.72,4692,3363,53.9,1.74,,,,,,,,,,,,,,,
accuses,0.02,1.77,119,114,1.4,0.37,,,,,,,,,,,,,,,
accusing,0.01,1.83,515,493,5.9,0.84,,,,,,,,,,,,,,,
accusingly,0.0507,1.30,94,94,1.1,0.32,,,,,,,,,,,,,,,
accustomed,0.010029035,2.00,867,830,10.0,1.04,,,,,,,,,,,,,,,
ace,0.054454766,1.26,1767,660,20.3,1.33,,,,,,,,,,,,,,,
aces,0.0766,1.12,251,182,2.9,0.59,,,,,,,,,,,,,,,
acetate,0.071062238,1.15,150,94,1.7,0.44,,,,,,,,,,,,,,,
acetic,0.16,0.80,120,78,1.4,0.38,,,,,,,,,,,,,,,
ache,0.04,1.40,338,311,3.9,0.69,,,,,,,,,,,,,,,
ached,0.05,1.29,255,246,2.9,0.59,,,,,,,,,,,,,,,
aches,0.04,1.36,153,141,1.8,0.44,,,,,,,,,,,,,,,
achievable,0.02,1.74,175,163,2.0,0.48,,,,,,,,,,,,,,,
achieve,0.01,2.07,6270,5404,72.1,1.86,,,,,,,,,,,,,,,
achieved,0.01,2.14,7573,6457,87.0,1.94,,,,,,,,,,,,,,,
achievement,0.013607937,1.87,2975,2437,34.2,1.55,,,,,,,,,,,,,,,
achievements,0.012789382,1.89,1441,1303,16.6,1.24,,,,,,,,,,,,,,,
achievers,0.04420539,1.35,69,59,0.8,0.25,,,,,,,,,,,,,,,
achieves,0.01182001,1.93,326,316,3.7,0.68,,,,,,,,,,,,,,,
achieving,0.012005578,1.92,1761,1631,20.2,1.33,,,,,,,,,,,,,,,
achilles,0.02946773,1.53,197,157,2.3,0.51,,,,,,,,,,,,,,,
aching,0.043079855,1.37,431,390,5.0,0.77,,,,,,,,,,,,,,,
acid,0.036551455,1.44,4886,1891,56.2,1.76,,,,,,,,,,,,,,,
acidic,0.05,1.28,185,145,2.1,0.50,,,,,,,,,,,,,,,
acidification,0.215862772,0.67,119,57,1.4,0.37,,,,,,,,,,,,,,,
acidified,0.185361127,0.73,59,40,0.7,0.22,,,,,,,,,,,,,,,
acidity,0.0902,1.04,283,167,3.3,0.63,,,,,,,,,,,,,,,
acidly,0.048403679,1.32,74,74,0.9,0.27,,,,,,,,,,,,,,,
acids,0.094032207,1.03,984,439,11.3,1.09,,,,,,,,,,,,,,,
acknowledge,0.01,1.99,1366,1274,15.7,1.22,,,,,,,,,,,,,,,
acknowledged,0.0072,2.14,2015,1920,23.2,1.38,,,,,,,,,,,,,,,
acknowledgement,0.01,2.00,524,474,6.0,0.85,,,,,,,,,,,,,,,
acknowledgements,0.024650544,1.61,93,87,1.1,0.32,,,,,,,,,,,,,,,
acknowledges,0.01,1.91,475,452,5.5,0.81,,,,,,,,,,,,,,,
acknowledging,0.0089,2.05,387,379,4.4,0.74,,,,,,,,,,,,,,,
acknowledgment,0.02,1.69,92,85,1.1,0.31,,,,,,,,,,,,,,,
acne,0.046332325,1.33,121,73,1.4,0.38,,,,,,,,,,,,,,,
acorn,0.031305188,1.50,230,118,2.6,0.56,,,,,,,,,,,,,,,
acorns,0.03,1.54,63,53,0.7,0.24,,,,,,,,,,,,,,,
acoustic,0.109531995,0.96,787,422,9.0,1.00,,,,,,,,,,,,,,,
acoustics,0.08,1.10,122,97,1.4,0.38,,,,,,,,,,,,,,,
acquaint,0.0116,1.94,56,56,0.6,0.22,,,,,,,,,,,,,,,
acquaintance,0.020189134,1.69,570,528,6.6,0.88,,,,,,,,,,,,,,,
acquaintances,0.021633671,1.66,283,275,3.3,0.63,,,,,,,,,,,,,,,
acquainted,0.014625901,1.83,302,291,3.5,0.65,,,,,,,,,,,,,,,
acquiesce,0.019607992,1.71,65,65,0.7,0.24,,,,,,,,,,,,,,,
acquiesced,0.029833895,1.53,68,61,0.8,0.25,,,,,,,,,,,,,,,
acquiescence,0.0204,1.69,170,158,2.0,0.47,,,,,,,,,,,,,,,
acquire,0.010928725,1.96,1931,1665,22.2,1.37,,,,,,,,,,,,,,,
acquired,0.010127628,1.99,3970,3237,45.6,1.67,,,,,,,,,,,,,,,
acquires,0.021627012,1.67,234,210,2.7,0.57,,,,,,,,,,,,,,,
acquiring,0.01163879,1.93,862,769,9.9,1.04,,,,,,,,,,,,,,,
acquisition,0.02,1.62,2611,1695,30.0,1.49,,,,,,,,,,,,,,,
acquisitions,0.04,1.36,670,516,7.7,0.94,,,,,,,,,,,,,,,
acquisitive,0.02,1.69,67,64,0.8,0.25,,,,,,,,,,,,,,,
acquit,0.08,1.10,53,51,0.6,0.21,,,,,,,,,,,,,,,
acquittal,0.082357992,1.08,120,96,1.4,0.38,,,,,,,,,,,,,,,
acquitted,0.05016467,1.30,360,318,4.1,0.71,,,,,,,,,,,,,,,
acre,0.03,1.51,814,656,9.4,1.02,,,,,,,,,,,,,,,
acreage,0.070549408,1.15,103,88,1.2,0.34,,,,,,,,,,,,,,,
acres,0.034606792,1.46,1511,1163,17.4,1.26,,,,,,,,,,,,,,,
acrid,0.04,1.41,113,111,1.3,0.36,,,,,,,,,,,,,,,
acrimonious,0.012076762,1.92,130,129,1.5,0.40,,,,,,,,,,,,,,,
acrimony,0.014787805,1.83,77,76,0.9,0.28,,,,,,,,,,,,,,,
acronym,0.013561733,1.87,82,79,0.9,0.29,,,,,,,,,,,,,,,
acropolis,0.1416,0.85,85,58,1.0,0.30,,,,,,,,,,,,,,,
across,0.008812305,2.05,21797,16097,250.5,2.40,,,,,,,,,,,,,,,
acrylic,0.11,0.94,301,145,3.5,0.65,,,,,,,,,,,,,,,
acrylics,0.185615307,0.73,88,42,1.0,0.30,,,,,,,,,,,,,,,
act,0.0102,1.99,26291,13183,302.2,2.48,,,,,,,,,,,,,,,
acted,0.01,2.09,2234,2033,25.7,1.43,,,,,,,,,,,,,,,
